temperature,humidity,pressure,wind_speed,wind_direction,rain,cloudiness,description,condition_type,label
33.12,51,1009,1.37,26,0.0,78,0,0,aman
33.88,48,1008,1.43,40,0.12,82,4,1,aman
33.38,49,1006,1.13,55,0.0,86,3,0,aman
32.61,55,1005,0.99,68,0.0,88,3,0,aman
32.25,56,1005,1.48,66,0.0,90,3,0,aman
30.13,67,1005,1.36,79,0.15,90,4,1,aman
29.2,73,1005,1.49,87,0.0,72,0,0,aman
25.36,88,1007,1.27,75,0.0,48,1,0,aman
24.94,90,1008,1.16,69,0.0,42,1,0,aman
24.69,90,1009,1.05,76,0.0,29,1,0,aman
24.42,92,1009,0.76,104,0.21,68,4,1,aman
24.28,93,1008,0.64,85,0.0,71,0,0,aman
23.93,95,1007,0.61,69,0.18,66,4,1,aman
23.58,97,1007,0.24,341,0.18,67,4,1,aman
23.49,97,1007,0.33,318,0.0,82,0,0,aman
23.38,98,1007,0.16,324,0.21,79,4,1,aman
23.33,98,1007,0.42,39,0.0,84,0,0,aman
23.35,98,1008,0.5,43,0.0,88,3,0,aman
24.77,94,1009,0.35,1,0.0,90,3,0,aman
26.1,92,1010,0.51,20,1.26,91,6,1,bahaya
26.89,89,1010,0.65,61,2.2,100,6,1,bahaya
27.31,88,1010,1.07,74,1.42,100,6,1,bahaya
27.33,87,1009,0.98,75,0.51,99,4,1,aman
26.63,91,1009,0.98,109,0.41,99,4,1,aman
26.24,92,1008,1.3,126,0.19,99,4,1,aman
26.63,88,1007,1.22,128,0.0,100,3,0,aman
28.02,79,1006,1.03,113,0.0,100,3,0,aman
28.04,79,1006,0.96,103,0.0,100,3,0,aman
27.04,85,1006,0.85,130,0.0,100,3,0,aman
25.81,90,1006,0.65,101,0.0,100,3,0,aman
25.35,91,1007,0.91,82,0.0,100,3,0,aman
24.67,89,1008,1.01,51,0.0,94,3,0,aman
24.41,90,1009,0.84,63,0.0,94,3,0,aman
24.29,90,1009,0.65,57,0.0,97,3,0,aman
24.12,91,1009,0.42,64,0.0,98,3,0,aman
23.98,92,1008,0.27,62,0.0,95,3,0,aman
23.85,93,1007,0.21,67,0.0,89,3,0,aman
23.48,95,1007,0.12,224,0.0,80,0,0,aman
23.29,97,1006,0.25,350,0.21,49,4,1,aman
23.23,97,1006,0.52,5,0.0,69,0,0,aman
23.23,97,1007,0.63,27,0.0,75,0,0,aman
23.28,97,1008,0.33,16,0.0,81,0,0,aman
24.89,91,1008,0.32,356,0.0,84,0,0,aman
26.81,85,1009,0.83,5,0.31,96,4,1,aman
28.48,77,1009,1.07,18,0.71,100,4,1,aman
29.5,73,1009,1.3,52,1.31,100,6,1,bahaya
29.2,76,1008,1.29,67,1.39,100,6,1,bahaya
29.37,75,1007,1.1,64,1.23,100,6,1,bahaya
29.82,73,1006,1.03,77,1.08,100,6,1,waspada
30.38,71,1005,0.95,98,0.97,100,4,1,waspada
30.81,67,1005,1.19,64,0.44,100,4,1,aman
30.18,69,1005,1.47,67,0.3,98,4,1,aman
28.36,80,1005,1.63,69,0.36,78,4,1,aman
25.7,89,1006,1.18,75,0.2,70,4,1,aman
24.95,92,1007,1.21,66,0.0,70,0,0,aman
24.67,93,1008,1.02,60,0.0,75,0,0,aman
24.3,94,1009,0.71,48,0.0,100,3,0,aman
24.09,95,1009,0.44,44,0.0,89,3,0,aman
23.97,95,1009,0.44,44,0.0,92,3,0,aman
23.87,96,1008,0.59,33,0.0,94,3,0,aman
23.82,96,1008,0.6,11,0.0,95,3,0,aman
23.73,96,1007,0.59,356,0.0,96,3,0,aman
23.61,97,1007,0.79,352,0.14,100,4,1,aman
23.37,98,1007,0.78,358,0.51,93,4,1,aman
23.38,99,1008,0.72,8,0.54,95,4,1,aman
23.31,99,1008,0.55,360,0.89,97,4,1,waspada
24.4,97,1009,0.42,350,0.34,97,4,1,aman
25.96,91,1009,0.71,7,0.31,97,4,1,aman
26.82,91,1010,0.9,32,0.9,100,4,1,waspada
31.79,59,1008,1.92,49,0.0,89,3,0,aman
31.51,63,1007,2.16,60,0.64,90,4,1,aman
31.52,64,1006,1.97,58,0.73,91,4,1,aman
31.28,67,1005,1.72,62,0.76,98,4,1,aman
30.62,70,1005,1.68,79,0.77,100,4,1,aman
29.67,77,1005,1.52,82,0.76,100,4,1,aman
27.99,84,1005,1.4,81,0.56,94,4,1,aman
25.52,93,1006,1.14,67,0.25,95,4,1,aman
24.84,94,1007,0.91,62,0.0,96,3,0,aman
24.54,95,1008,0.71,67,0.0,97,3,0,aman
24.13,95,1009,0.66,28,0.0,100,3,0,aman
23.97,95,1009,0.45,13,0.0,100,3,0,aman
23.83,96,1009,0.36,5,0.0,100,3,0,aman
23.62,97,1008,0.42,344,0.18,98,4,1,aman
23.47,98,1008,0.64,331,0.54,96,4,1,aman
23.37,98,1008,0.81,343,0.45,96,4,1,aman
23.22,98,1008,0.68,328,0.74,100,4,1,aman
23.36,99,1007,0.64,6,0.92,100,4,1,waspada
23.4,98,1008,0.71,15,0.44,100,4,1,aman
23.4,98,1008,0.72,14,0.15,100,4,1,aman
23.82,98,1009,0.72,353,0.26,100,4,1,aman
24.47,96,1010,1.46,8,0.77,100,4,1,aman
24.29,97,1010,1.18,20,1.62,100,6,1,bahaya
24.1,98,1010,0.98,15,0.66,100,4,1,aman
24.27,98,1009,1.24,355,0.24,100,4,1,aman
24.42,98,1009,1.09,343,0.19,100,4,1,aman
24.76,96,1008,1.22,338,0.0,100,3,0,aman
25.5,91,1007,1.17,344,0.0,100,3,0,aman
27.56,79,1006,1.08,4,0.0,100,3,0,aman
27.98,76,1006,0.71,26,0.0,100,3,0,aman
27.64,80,1006,0.35,61,0.0,100,3,0,aman
25.44,90,1006,0.38,88,0.0,100,3,0,aman
24.55,94,1007,0.48,69,0.0,99,3,0,aman
24.15,95,1008,0.62,47,0.0,96,3,0,aman
23.99,96,1009,0.64,13,0.0,95,3,0,aman
23.78,96,1009,0.77,5,0.0,97,3,0,aman
23.61,97,1009,0.73,359,0.0,98,3,0,aman
23.49,97,1008,0.8,344,0.0,99,3,0,aman
23.35,97,1008,0.95,329,0.14,99,4,1,aman
23.01,98,1007,0.85,332,0.49,89,4,1,aman
22.99,98,1007,0.84,342,0.39,100,4,1,aman
22.8,98,1007,0.87,343,0.0,100,3,0,aman
22.79,98,1007,0.88,340,0.0,100,3,0,aman
22.73,98,1008,0.84,339,0.0,99,3,0,aman
24.08,92,1009,0.7,338,0.0,100,3,0,aman
23.85,94,1010,0.86,16,0.0,100,3,0,aman
24.04,94,1010,0.89,9,0.0,100,3,0,aman
24.29,93,1010,1.06,2,0.0,100,3,0,aman
24.55,92,1009,1.15,2,0.0,100,3,0,aman
24.7,92,1008,1.0,350,0.0,100,3,0,aman
25.44,88,1007,1.17,345,0.0,100,3,0,aman
30.27,63,1006,1.84,4,0.0,97,3,0,aman
30.9,59,1005,1.81,15,0.0,86,3,0,aman
30.59,60,1005,1.67,28,0.0,75,0,0,aman
29.3,69,1005,1.41,39,0.0,62,0,0,aman
26.01,83,1005,1.18,48,0.0,60,0,0,aman
24.83,89,1006,1.11,57,0.0,56,0,0,aman
24.23,93,1007,1.04,45,0.0,62,0,0,aman
24.05,95,1008,0.88,46,0.0,17,2,0,aman
23.95,95,1008,0.74,50,0.0,33,1,0,aman
23.85,96,1008,0.61,46,0.0,42,1,0,aman
23.73,96,1007,0.52,35,0.0,51,0,0,aman
23.63,97,1007,0.74,10,0.0,53,0,0,aman
23.39,98,1006,0.65,6,0.0,53,0,0,aman
23.21,99,1006,0.49,349,0.32,64,4,1,aman
23.12,99,1006,0.67,344,0.34,67,4,1,aman
22.95,99,1006,0.76,333,0.0,79,0,0,aman
23.03,99,1007,0.76,335,0.0,81,0,0,aman
24.57,94,1008,0.68,342,0.0,77,0,0,aman
26.2,87,1009,1.26,357,0.0,81,0,0,aman
28.78,70,1009,1.52,12,0.0,89,3,0,aman
31.36,54,1008,1.82,24,0.0,92,3,0,aman
32.87,47,1008,1.95,33,0.0,85,3,0,aman
33.83,45,1007,1.95,43,0.0,83,0,0,aman
34.15,45,1006,2.28,55,0.0,83,0,0,aman
33.56,47,1005,2.46,69,0.0,85,3,0,aman
31.83,54,1004,2.53,77,0.0,100,3,0,aman
30.92,59,1004,2.35,82,0.0,95,3,0,aman
24.51,92,1006,1.19,84,0.5,94,4,1,aman
23.77,97,1008,0.92,70,1.37,87,6,1,bahaya
23.86,97,1009,0.91,52,0.3,100,4,1,aman
23.9,97,1009,0.81,52,0.0,100,3,0,aman
23.88,97,1009,0.64,70,0.17,100,4,1,aman
23.61,98,1008,0.5,72,0.86,99,4,1,waspada
23.47,99,1007,0.48,29,0.6,98,4,1,aman
23.49,99,1007,0.44,14,0.11,98,4,1,aman
23.47,99,1006,0.36,354,0.0,94,3,0,aman
23.27,99,1006,0.45,339,0.42,95,4,1,aman
23.1,99,1007,0.45,329,0.83,97,4,1,aman
22.99,99,1008,0.59,320,1.03,96,6,1,waspada
24.18,97,1008,0.66,340,0.42,97,4,1,aman
25.99,91,1009,1.08,11,0.0,100,3,0,aman
27.78,85,1009,1.41,16,0.91,91,4,1,waspada
29.37,75,1009,1.5,25,0.73,94,4,1,aman
31.03,66,1008,1.02,49,0.7,93,4,1,aman
30.93,68,1007,1.27,132,0.94,94,4,1,waspada
28.58,80,1006,2.1,140,0.78,95,4,1,aman
27.52,85,1005,1.41,123,0.29,98,4,1,aman
27.18,87,1005,1.43,110,0.37,100,4,1,aman
27.0,88,1004,1.3,94,0.16,100,4,1,aman
26.89,89,1005,1.2,89,0.12,100,4,1,aman
25.34,93,1005,1.18,94,0.2,100,4,1,aman
24.67,95,1007,1.09,74,0.0,100,3,0,aman
24.23,97,1008,0.97,80,0.11,100,4,1,aman
24.04,97,1009,0.89,74,0.0,100,3,0,aman
23.91,97,1009,0.83,59,0.0,100,3,0,aman
23.78,97,1009,0.53,69,0.0,100,3,0,aman
23.64,98,1008,0.43,71,0.0,98,3,0,aman
23.48,98,1007,0.26,55,0.22,97,4,1,aman
23.49,98,1007,0.31,356,0.46,100,4,1,aman
23.38,98,1007,0.37,345,0.5,96,4,1,aman
23.34,98,1007,0.7,348,0.0,98,3,0,aman
23.29,99,1007,0.85,5,0.0,98,3,0,aman
23.27,99,1008,0.83,15,0.0,96,3,0,aman
24.69,95,1009,0.56,8,0.0,96,3,0,aman
26.37,90,1009,0.95,23,0.8,97,4,1,aman
27.44,87,1009,1.33,43,1.14,100,6,1,waspada
27.86,85,1009,1.52,44,1.25,99,6,1,bahaya
28.63,80,1009,1.57,59,0.89,99,4,1,waspada
29.17,77,1008,1.68,54,0.95,94,4,1,waspada
29.7,76,1007,1.77,46,1.14,90,6,1,waspada
29.64,79,1006,1.55,49,1.26,88,6,1,bahaya
30.2,74,1005,1.37,59,0.68,95,4,1,aman
30.06,72,1005,1.65,78,0.44,94,4,1,aman
28.74,78,1005,1.62,90,0.31,96,4,1,aman
26.1,89,1006,1.41,80,0.0,96,3,0,aman
24.98,93,1007,1.24,74,0.0,96,3,0,aman
24.59,94,1008,1.03,56,0.0,89,3,0,aman
24.4,94,1009,1.05,57,0.0,100,3,0,aman
24.27,95,1009,1.0,51,0.16,100,4,1,aman
24.15,97,1008,0.89,41,0.0,99,3,0,aman
24.04,98,1007,0.63,29,0.0,99,3,0,aman
23.87,99,1007,0.44,33,0.28,99,4,1,aman
23.51,99,1007,0.66,331,0.0,100,3,0,aman
23.41,99,1007,0.71,331,0.14,100,4,1,aman
23.37,99,1007,0.72,341,0.14,100,4,1,aman
23.36,99,1007,0.72,349,0.0,100,3,0,aman
23.37,99,1008,0.47,339,0.0,100,3,0,aman
24.71,94,1009,0.34,337,0.0,100,3,0,aman
26.07,87,1010,0.6,326,0.0,100,3,0,aman
28.78,72,1010,0.5,334,0.0,100,3,0,aman
31.41,60,1009,0.75,24,0.0,100,3,0,aman
32.04,57,1008,1.22,31,0.1,100,4,1,aman
31.19,63,1007,1.66,30,0.66,99,4,1,aman
29.54,78,1007,1.37,40,0.94,96,4,1,waspada
30.27,73,1006,0.99,81,0.78,98,4,1,aman
29.9,74,1005,1.15,87,0.57,98,4,1,aman
29.92,71,1005,1.5,80,0.44,92,4,1,aman
28.84,75,1006,1.5,82,0.17,95,4,1,aman
26.08,86,1007,1.31,78,0.0,96,3,0,aman
25.05,90,1007,1.26,75,0.0,97,3,0,aman
24.64,91,1008,1.13,56,0.0,98,3,0,aman
24.42,92,1009,0.99,47,0.0,100,3,0,aman
24.33,93,1009,1.13,43,0.0,100,3,0,aman
24.22,95,1008,0.93,41,0.0,100,3,0,aman
24.07,96,1008,0.73,24,0.0,97,3,0,aman
23.83,97,1007,0.79,11,0.0,82,0,0,aman
23.62,97,1007,0.8,8,0.0,79,0,0,aman
23.47,97,1007,0.71,356,0.0,86,3,0,aman
23.28,98,1007,0.76,335,0.14,79,4,1,aman
23.08,99,1008,0.81,329,0.71,83,4,1,aman
23.04,98,1008,0.72,326,0.43,85,4,1,aman
24.33,94,1009,0.72,337,0.14,88,4,1,aman
25.53,89,1009,0.72,359,0.32,90,4,1,aman
24.36,97,1010,0.15,81,2.81,100,6,1,bahaya
24.16,98,1009,0.43,95,6.37,100,7,1,bahaya
23.93,99,1008,0.37,100,9.67,100,7,1,bahaya
24.02,99,1008,0.31,8,4.36,100,7,1,bahaya
24.51,97,1006,0.47,333,0.39,100,4,1,aman
25.3,94,1006,0.98,321,0.14,100,4,1,aman
26.32,89,1005,0.76,331,0.0,100,3,0,aman
27.24,83,1005,0.39,348,0.0,100,3,0,aman
27.39,84,1005,0.1,49,0.0,98,3,0,aman
25.31,93,1006,0.07,235,0.4,98,4,1,aman
24.16,98,1007,0.44,35,1.97,99,6,1,bahaya
24.09,98,1008,0.61,16,0.98,99,4,1,waspada
24.0,98,1008,0.69,1,0.0,99,3,0,aman
23.85,98,1008,0.68,343,0.0,83,0,0,aman
23.73,98,1008,0.9,338,0.0,89,3,0,aman
23.71,99,1007,0.87,332,0.0,92,3,0,aman
23.67,99,1007,0.82,330,0.0,93,3,0,aman
23.47,99,1007,0.84,333,0.0,94,3,0,aman
22.98,99,1007,0.57,345,0.11,84,4,1,aman
22.83,99,1007,0.66,350,0.11,87,4,1,aman
22.76,99,1008,0.59,340,0.0,90,3,0,aman
22.84,99,1008,0.61,339,0.0,92,3,0,aman
23.72,97,1009,0.68,357,0.0,93,3,0,aman
24.73,93,1009,0.71,359,0.0,96,3,0,aman
25.74,88,1009,0.66,4,0.0,100,3,0,aman
26.66,84,1009,0.5,67,0.0,98,3,0,aman
28.34,76,1008,0.8,94,0.0,98,3,0,aman
29.84,69,1007,0.81,99,0.0,98,3,0,aman
29.87,71,1006,1.07,132,0.48,99,4,1,aman
29.98,71,1005,1.38,154,0.34,99,4,1,aman
29.6,75,1004,1.61,102,0.35,100,4,1,aman
29.47,74,1004,1.69,102,0.32,99,4,1,aman
28.15,81,1005,1.64,96,0.26,93,4,1,aman
25.63,89,1005,1.39,89,0.0,94,3,0,aman
24.49,92,1006,1.27,77,0.0,95,3,0,aman
23.94,95,1008,1.09,64,0.0,94,3,0,aman
23.78,95,1008,0.76,71,0.0,100,3,0,aman
23.77,95,1008,0.48,78,0.0,77,0,0,aman
23.76,96,1008,0.48,73,0.0,84,0,0,aman
23.36,98,1008,0.27,92,1.47,88,6,1,bahaya
23.37,99,1007,0.28,9,0.72,90,4,1,aman
23.34,99,1007,0.5,24,0.0,81,0,0,aman
23.27,99,1006,0.6,19,0.11,89,4,1,aman
23.18,99,1006,0.46,332,0.0,77,0,0,aman
23.09,99,1007,0.51,14,0.11,80,4,1,aman
23.07,99,1007,0.39,335,0.0,84,0,0,aman
24.1,97,1008,0.67,332,0.0,87,3,0,aman
25.18,92,1009,0.91,348,0.0,89,3,0,aman
26.29,86,1009,0.85,337,0.0,99,3,0,aman
26.27,87,1009,0.5,358,0.0,100,3,0,aman
26.07,89,1008,0.17,42,0.0,100,3,0,aman
26.49,86,1007,0.23,38,0.0,100,3,0,aman
29.43,70,1006,0.97,29,0.0,94,3,0,aman
32.18,58,1005,1.38,29,0.0,85,3,0,aman
31.41,61,1004,1.44,34,0.0,64,0,0,aman
31.11,62,1004,1.6,40,0.0,55,0,0,aman
29.92,71,1005,1.59,56,0.0,47,1,0,aman
26.88,85,1005,1.57,64,0.0,39,1,0,aman
25.17,92,1006,1.69,63,0.83,34,4,1,aman
24.75,91,1007,1.38,59,0.0,50,1,0,aman
24.5,92,1008,1.11,52,0.0,48,1,0,aman
24.2,94,1008,0.91,43,0.24,38,4,1,aman
23.99,96,1008,0.78,23,0.0,36,1,0,aman
23.82,98,1007,0.49,5,0.0,37,1,0,aman
23.61,99,1007,0.37,336,0.27,34,4,1,aman
23.44,99,1006,0.43,302,0.24,33,4,1,aman
23.55,98,1006,0.56,321,0.0,48,1,0,aman
23.39,98,1007,0.66,333,0.0,57,0,0,aman
23.37,97,1007,0.47,327,0.0,69,0,0,aman
23.34,97,1008,0.5,334,0.0,76,0,0,aman
24.65,92,1008,0.52,347,0.0,81,0,0,aman
26.81,81,1009,0.92,352,0.0,81,0,0,aman
24.81,94,1010,0.89,21,0.32,100,4,1,aman
25.25,91,1010,1.22,32,0.35,100,4,1,aman
25.02,92,1009,0.93,47,0.28,100,4,1,aman
24.97,93,1008,0.56,55,0.0,100,3,0,aman
24.96,93,1007,0.33,60,0.0,100,3,0,aman
25.11,92,1006,0.23,333,0.0,100,3,0,aman
29.27,69,1005,1.34,205,0.0,99,3,0,aman
28.75,72,1005,1.43,193,0.0,100,3,0,aman
27.88,78,1005,1.15,191,0.0,100,3,0,aman
25.66,89,1006,0.76,184,0.0,100,3,0,aman
24.72,92,1007,0.57,147,0.17,97,4,1,aman
24.36,93,1008,0.53,123,0.1,83,4,1,aman
23.92,95,1009,0.55,75,0.0,1,5,2,aman
23.1,97,1009,0.41,299,0.62,9,4,1,aman
23.04,97,1009,0.44,282,0.0,11,2,0,aman
22.93,97,1008,0.67,291,0.0,12,2,0,aman
22.8,98,1007,0.7,311,0.0,16,2,0,aman
22.69,98,1007,0.92,297,0.0,26,1,0,aman
22.61,97,1007,1.23,308,0.0,84,0,0,aman
22.47,98,1007,1.15,291,0.0,75,0,0,aman
22.46,99,1007,1.01,284,0.0,71,0,0,aman
22.53,99,1008,1.17,294,0.0,71,0,0,aman
24.07,94,1008,1.42,296,0.0,70,0,0,aman
26.21,85,1009,1.82,279,0.0,66,0,0,aman
28.78,73,1009,1.8,287,0.0,26,1,0,aman
31.11,62,1009,1.98,278,0.0,18,2,0,aman
32.5,56,1008,2.26,278,0.14,17,4,1,aman
33.45,53,1006,2.15,277,0.0,33,1,0,aman
32.3,57,1005,2.07,278,0.0,46,1,0,aman
29.98,73,1004,1.41,264,0.47,53,4,1,aman
28.66,82,1004,0.92,198,0.95,93,4,1,waspada
28.14,85,1004,1.28,152,0.74,94,4,1,aman
27.27,91,1005,1.39,144,0.0,68,0,0,aman
25.71,94,1006,0.97,138,0.0,52,0,0,aman
25.04,96,1007,0.89,142,0.0,52,0,0,aman
24.24,97,1008,1.03,143,0.82,51,4,1,aman
23.89,98,1009,0.85,115,0.0,36,1,0,aman
23.76,98,1009,0.72,105,0.0,69,0,0,aman
23.72,98,1009,0.14,120,0.0,68,0,0,aman
23.64,98,1008,0.42,236,0.0,61,0,0,aman
23.56,98,1007,0.63,256,0.0,61,0,0,aman
23.54,98,1007,0.72,282,0.0,68,0,0,aman
23.18,98,1006,0.4,318,0.0,100,3,0,aman
23.15,98,1007,0.81,323,0.0,100,3,0,aman
23.12,98,1007,1.07,306,0.0,100,3,0,aman
23.07,99,1008,1.37,305,0.49,100,4,1,aman
23.91,98,1009,1.65,311,0.0,100,3,0,aman
25.09,93,1010,1.97,301,1.33,100,6,1,bahaya
27.1,81,1009,1.91,288,3.16,100,6,1,bahaya
29.85,67,1009,2.25,283,4.21,100,7,1,bahaya
30.86,64,1008,2.35,278,2.3,86,6,1,bahaya
32.24,56,1007,2.37,279,3.16,100,6,1,bahaya
32.1,55,1005,2.4,276,0.27,100,4,1,aman
28.48,82,1005,1.43,297,0.0,100,3,0,aman
28.12,88,1004,1.37,305,0.0,100,3,0,aman
28.77,85,1004,0.92,248,0.0,100,3,0,aman
27.43,89,1005,0.94,214,0.0,100,3,0,aman
25.47,93,1006,0.66,224,0.0,100,3,0,aman
24.9,95,1006,0.51,278,0.0,100,3,0,aman
24.56,96,1007,0.56,305,0.0,100,3,0,aman
24.28,97,1008,0.36,279,0.0,98,3,0,aman
24.09,97,1008,0.15,11,0.0,99,3,0,aman
24.06,97,1008,0.39,341,0.0,99,3,0,aman
24.1,97,1007,0.52,319,0.0,99,3,0,aman
24.05,97,1007,0.44,329,0.0,99,3,0,aman
23.86,98,1007,0.5,7,0.27,100,4,1,aman
23.92,98,1006,0.43,53,0.0,100,3,0,aman
23.77,99,1007,0.52,71,0.24,100,4,1,aman
23.6,99,1007,1.15,66,0.24,100,4,1,aman
23.48,99,1008,1.13,61,0.87,100,4,1,waspada
23.51,99,1009,0.95,55,0.37,100,4,1,aman
23.79,99,1010,0.41,29,2.05,100,6,1,bahaya
24.32,98,1010,0.21,295,2.05,100,6,1,bahaya
24.79,96,1010,0.76,288,1.5,100,6,1,bahaya
25.51,93,1009,0.97,296,0.38,100,4,1,aman
26.21,89,1009,1.48,267,0.0,100,3,0,aman
24.81,95,1007,1.12,28,0.12,100,4,1,aman
25.19,91,1006,0.86,23,0.5,100,4,1,aman
26.51,81,1006,1.21,40,2.05,100,6,1,bahaya
26.09,88,1006,1.21,1,1.69,100,6,1,bahaya
26.11,87,1006,0.91,6,0.49,100,4,1,aman
24.82,93,1006,0.5,26,0.12,100,4,1,aman
24.49,94,1007,0.54,34,0.0,100,3,0,aman
24.15,96,1008,0.55,61,0.0,98,3,0,aman
23.91,97,1008,0.63,63,0.0,99,3,0,aman
23.35,95,1009,0.5,43,0.0,88,3,0,aman
23.25,95,1009,0.4,3,0.0,91,3,0,aman
23.26,94,1008,0.44,308,0.0,93,3,0,aman
23.03,95,1008,0.61,322,0.0,93,3,0,aman
23.34,93,1007,0.55,302,0.0,94,3,0,aman
23.46,92,1007,0.59,303,0.0,100,3,0,aman
22.91,95,1007,0.93,315,0.0,100,3,0,aman
23.18,94,1007,0.67,297,0.0,100,3,0,aman
22.72,96,1008,0.59,288,0.0,100,3,0,aman
23.99,90,1009,0.63,274,0.0,100,3,0,aman
26.15,81,1009,0.89,283,0.0,100,3,0,aman
28.26,72,1009,1.19,303,0.0,100,3,0,aman
30.44,62,1009,1.25,287,0.0,92,3,0,aman
32.43,55,1007,1.3,280,0.0,87,3,0,aman
32.93,54,1006,1.76,278,0.0,67,0,0,aman
33.26,52,1005,1.53,264,0.0,71,0,0,aman
32.06,59,1004,1.24,214,0.0,75,0,0,aman
28.1,84,1004,1.19,159,0.0,98,3,0,aman
26.26,93,1004,1.66,96,0.0,100,3,0,aman
27.0,92,1004,1.57,100,0.0,96,3,0,aman
25.86,95,1005,1.15,104,0.0,97,3,0,aman
25.1,97,1006,1.19,88,0.0,87,3,0,aman
24.74,97,1007,1.13,80,0.0,90,3,0,aman
24.47,96,1008,0.95,62,0.0,91,3,0,aman
24.18,97,1008,0.7,36,0.0,84,0,0,aman
23.95,97,1008,0.75,21,0.0,74,0,0,aman
23.79,98,1008,0.3,6,0.0,81,0,0,aman
23.59,98,1007,0.44,336,0.0,84,0,0,aman
23.4,99,1007,0.32,311,0.0,87,3,0,aman
23.57,98,1006,0.48,310,0.21,100,4,1,aman
23.26,99,1006,0.63,359,3.16,96,6,1,bahaya
23.32,98,1007,0.56,354,0.12,98,4,1,aman
23.31,99,1007,0.54,354,0.0,98,3,0,aman
24.21,97,1008,0.36,306,0.0,98,3,0,aman
25.21,96,1009,0.81,300,0.0,99,3,0,aman
24.8,97,1010,1.06,310,0.0,100,3,0,aman
25.98,94,1009,1.12,300,0.0,100,3,0,aman
27.04,92,1009,0.85,306,0.0,100,3,0,aman
27.24,91,1008,0.57,338,0.2,100,4,1,aman
27.88,88,1007,0.22,306,0.0,100,3,0,aman
29.39,78,1006,0.37,160,0.65,100,4,1,aman
29.49,77,1005,0.38,115,0.56,99,4,1,aman
29.02,79,1005,0.94,151,0.56,99,4,1,aman
27.6,90,1005,1.23,138,0.0,100,3,0,aman
25.71,96,1006,0.97,137,0.0,93,3,0,aman
25.07,97,1007,0.81,125,0.0,90,3,0,aman
24.72,97,1008,0.64,119,0.0,91,3,0,aman
24.48,97,1008,0.7,107,0.87,94,4,1,waspada
23.82,98,1009,0.14,60,0.1,76,4,1,aman
23.94,98,1009,0.15,82,0.32,84,4,1,aman
24.06,97,1008,0.56,65,0.24,88,4,1,aman
24.03,98,1008,0.52,114,0.0,90,3,0,aman
23.95,98,1007,0.54,145,0.0,92,3,0,aman
23.31,98,1007,0.55,12,0.0,99,3,0,aman
23.25,98,1007,0.31,54,0.0,100,3,0,aman
23.17,98,1007,0.54,355,0.0,100,3,0,aman
23.18,98,1008,0.73,326,0.0,100,3,0,aman
23.45,97,1009,0.93,305,0.0,100,3,0,aman
24.25,96,1010,1.56,300,0.0,100,3,0,aman
25.7,91,1010,2.07,293,0.0,100,3,0,aman
25.31,93,1010,1.5,305,0.0,100,3,0,aman
25.56,92,1009,1.32,281,0.0,100,3,0,aman
25.95,92,1008,1.27,230,0.0,100,3,0,aman
26.24,92,1007,1.35,212,0.0,100,3,0,aman
27.4,84,1006,1.55,224,0.0,100,3,0,aman
28.47,78,1005,1.62,232,0.15,100,4,1,aman
26.76,94,1005,1.12,155,4.21,100,7,1,bahaya
26.1,94,1005,0.9,142,1.63,100,6,1,bahaya
25.19,95,1006,0.47,125,0.65,100,4,1,aman
24.63,96,1007,0.25,83,0.0,100,3,0,aman
24.37,97,1008,0.33,45,0.0,99,3,0,aman
24.24,97,1008,0.27,33,0.0,97,3,0,aman
24.13,96,1009,1.26,326,0.0,100,3,0,aman
24.02,98,1009,1.4,329,0.0,100,3,0,aman
24.07,98,1008,1.95,325,0.0,100,3,0,aman
23.77,98,1008,2.06,316,0.0,100,3,0,aman
23.5,98,1007,2.07,310,0.0,100,3,0,aman
23.33,98,1007,1.82,298,0.0,100,3,0,aman
23.41,99,1007,1.48,317,0.11,100,4,1,aman
23.38,99,1007,1.4,303,2.73,100,6,1,bahaya
23.33,99,1008,1.09,299,3.65,100,6,1,bahaya
23.34,99,1009,1.13,330,1.15,100,6,1,waspada
23.75,99,1009,0.59,304,0.32,100,4,1,aman
23.77,99,1009,0.34,300,3.65,100,6,1,bahaya
24.61,96,1009,0.69,281,2.05,100,6,1,bahaya
25.42,92,1009,1.21,280,0.18,100,4,1,aman
26.3,86,1008,1.6,280,1.19,100,6,1,waspada
27.64,77,1007,1.25,276,0.0,100,3,0,aman
28.39,73,1006,0.86,306,0.0,100,3,0,aman
28.77,71,1006,0.6,327,2.05,100,6,1,bahaya
25.82,90,1006,1.41,37,2.73,100,6,1,bahaya
24.7,96,1006,1.97,34,0.42,100,4,1,aman
23.8,98,1007,2.15,41,0.27,100,4,1,aman
23.6,99,1008,1.62,39,0.49,100,4,1,aman
23.49,99,1009,1.19,46,0.5,100,4,1,aman
23.4,100,1010,0.65,76,0.33,100,4,1,aman
23.59,99,1009,0.28,243,0.27,100,4,1,aman
23.5,99,1009,0.6,229,0.0,100,3,0,aman
23.41,99,1009,0.58,247,0.0,100,3,0,aman
23.32,99,1008,0.72,304,0.13,100,4,1,aman
23.26,99,1007,0.93,315,0.32,100,4,1,aman
23.08,99,1008,1.0,305,0.0,92,3,0,aman
22.83,99,1007,0.84,279,0.24,100,4,1,aman
22.7,99,1008,0.94,294,0.37,97,4,1,aman
22.56,99,1008,0.77,303,0.0,95,3,0,aman
